제조사,모델명,모델번호,모델_네트워크타입,통신사,요금제,월요금제,기기변경지원금,번호이동지원금,공시일,섹션
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,A01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,5G 슬림 4GB,37000,305000,305000,2025-07-02,A01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,A01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,B01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,5G 슬림 7GB,45000,337000,337000,2025-07-02,B01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,B01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,C01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,5G 슬림 21GB,58000,382000,382000,2025-07-02,C01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,C01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,D01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,5G 심플 70GB,65000,408000,408000,2025-07-02,D01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,D01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,E01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,5G 심플 110GB,69000,424000,424000,2025-07-02,E01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,E01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,F01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,초이스 스페셜,110000,449000,449000,2025-07-02,F01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,F01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,SK,,,,,,G01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,KT,초이스 프리미엄,130000,449000,449000,2025-07-02,G01
삼성전자,[5G] KT 맘편안폰S,SM-M366K-MOM,5G,LG,,,,,,G01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,A01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,5G 슬림 4GB,37000,305000,305000,2025-07-02,A01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,A01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,B01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,5G 슬림 7GB,45000,337000,337000,2025-07-02,B01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,B01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,C01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,5G 슬림 21GB,58000,382000,382000,2025-07-02,C01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,C01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,D01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,5G 심플 70GB,65000,408000,408000,2025-07-02,D01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,D01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,E01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,5G 심플 110GB,69000,424000,424000,2025-07-02,E01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,E01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,F01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,초이스 스페셜,110000,449000,449000,2025-07-02,F01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,F01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,SK,,,,,,G01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,KT,초이스 프리미엄,130000,449000,449000,2025-07-02,G01
삼성전자,[5G] 갤럭시 A36 5G,SM-A366N,5G,LG,,,,,,G01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,컴팩트,39000,287000,287000,2025-06-24,A01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,5G 슬림 4GB,37000,374000,374000,2025-05-14,A01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 미니,37000,208000,208000,2025-04-01,A01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,컴팩트플러스,45000,334000,334000,2025-06-24,B01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,5G 슬림 7GB,45000,402000,402000,2025-05-14,B01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 슬림+,47000,259000,259000,2025-04-01,B01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,베이직플러스,59000,424000,424000,2025-06-24,C01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,5G 슬림 21GB,58000,442000,442000,2025-05-14,C01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 베이직+,59000,319000,319000,2025-04-01,C01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,베이직플러스 50GB업,66000,450000,450000,2025-06-24,D01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,5G 심플 70GB,65000,464000,464000,2025-05-14,D01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 데이터 플러스,66000,355000,355000,2025-04-01,D01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,5GX 레귤러 플러스,79000,495000,495000,2025-06-24,E01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,5G 심플 110GB,69000,478000,478000,2025-05-14,E01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 스탠다드,75000,400000,400000,2025-04-01,E01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,5GX 프리미엄,109000,550000,550000,2025-06-24,F01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,초이스 스페셜,110000,550000,550000,2025-05-14,F01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 프리미어 플러스,105000,450000,450000,2025-04-01,F01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,SK,5GX 플래티넘,125000,550000,550000,2025-06-24,G01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,KT,초이스 프리미엄,130000,550000,550000,2025-05-14,G01
애플,[5G] 아이폰 16E (128G),IP16E_128GB,5G,LG,5G 시그니처,130000,450000,450000,2025-04-01,G01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,컴팩트,39000,287000,287000,2025-06-24,A01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,5G 슬림 4GB,37000,374000,374000,2025-05-14,A01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 미니,37000,208000,208000,2025-04-01,A01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,컴팩트플러스,45000,334000,334000,2025-06-24,B01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,5G 슬림 7GB,45000,402000,402000,2025-05-14,B01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 슬림+,47000,259000,259000,2025-04-01,B01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,베이직플러스,59000,424000,424000,2025-06-24,C01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,5G 슬림 21GB,58000,442000,442000,2025-05-14,C01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 베이직+,59000,319000,319000,2025-04-01,C01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,베이직플러스 50GB업,66000,450000,450000,2025-06-24,D01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,5G 심플 70GB,65000,464000,464000,2025-05-14,D01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 데이터 플러스,66000,355000,355000,2025-04-01,D01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,5GX 레귤러 플러스,79000,495000,495000,2025-06-24,E01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,5G 심플 110GB,69000,478000,478000,2025-05-14,E01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 스탠다드,75000,400000,400000,2025-04-01,E01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,5GX 프리미엄,109000,550000,550000,2025-06-24,F01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,초이스 스페셜,110000,550000,550000,2025-05-14,F01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 프리미어 플러스,105000,450000,450000,2025-04-01,F01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,SK,5GX 플래티넘,125000,550000,550000,2025-06-24,G01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,KT,초이스 프리미엄,130000,550000,550000,2025-05-14,G01
애플,[5G] 아이폰 16E (256G),IP16E_256GB,5G,LG,5G 시그니처,130000,450000,450000,2025-04-01,G01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,컴팩트,39000,287000,287000,2025-06-24,A01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,5G 슬림 4GB,37000,374000,374000,2025-05-14,A01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 미니,37000,208000,208000,2025-04-01,A01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,컴팩트플러스,45000,334000,334000,2025-06-24,B01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,5G 슬림 7GB,45000,402000,402000,2025-05-14,B01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 슬림+,47000,259000,259000,2025-04-01,B01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,베이직플러스,59000,424000,424000,2025-06-24,C01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,5G 슬림 21GB,58000,442000,442000,2025-05-14,C01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 베이직+,59000,319000,319000,2025-04-01,C01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,베이직플러스 50GB업,66000,450000,450000,2025-06-24,D01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,5G 심플 70GB,65000,464000,464000,2025-05-14,D01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 데이터 플러스,66000,355000,355000,2025-04-01,D01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,5GX 레귤러 플러스,79000,495000,495000,2025-06-24,E01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,5G 심플 110GB,69000,478000,478000,2025-05-14,E01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 스탠다드,75000,400000,400000,2025-04-01,E01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,5GX 프리미엄,109000,550000,550000,2025-06-24,F01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,초이스 스페셜,110000,550000,550000,2025-05-14,F01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 프리미어 플러스,105000,450000,450000,2025-04-01,F01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,SK,5GX 플래티넘,125000,550000,550000,2025-06-24,G01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,KT,초이스 프리미엄,130000,550000,550000,2025-05-14,G01
애플,[5G] 아이폰 16E (512G),IP16E_512GB,5G,LG,5G 시그니처,130000,450000,450000,2025-04-01,G01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,SK,컴팩트,39000,287000,287000,2025-06-10,A01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,KT,5G 슬림 4GB,37000,210000,210000,2025-06-10,A01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,LG,5G 미니,37000,222000,222000,2025-06-10,A01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,SK,컴팩트플러스,45000,334000,334000,2025-06-10,B01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,KT,5G 슬림 7GB,45000,255000,255000,2025-06-10,B01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,LG,5G 슬림+,47000,280000,290000,2025-06-10,B01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,SK,베이직플러스,59000,424000,424000,2025-06-10,C01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,KT,5G 슬림 21GB,58000,319000,319000,2025-06-10,C01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,LG,5G 베이직+,59000,350000,360000,2025-06-10,C01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,SK,베이직플러스 50GB업,66000,450000,450000,2025-06-10,D01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,KT,5G 심플 70GB,65000,355000,355000,2025-06-10,D01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,LG,5G 데이터 플러스,66000,390000,400000,2025-06-10,D01
애플,[5G] 아이폰 16 (128G),IP16_128GB,5G,SK,5GX 레귤러 플러스,79000,495000,495000,2025-06-10,E01
